"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"146",13,2,5.6803,4,"Monitor",20,40,8,2,70,4,2,70,5,"Bus_label"
"147",13,3,7.4834,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label"
"148",13,4,5.0817,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label"
"149",13,5,7.048,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"150",13,6,5.5498,4,"Monitor",25,20,9,3,50,4,3,80,3,"Metro_label"
"151",13,7,4.8488,4,"Monitor",15,20,9,2,50,6,2,80,4,"Metro_label"
"152",13,8,3.8498,4,"Monitor",20,20,8,1,50,5,1,70,4,"Metro_label"
"153",13,9,4.5165,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label"
"154",13,10,4.9499,4,"Monitor",20,30,9,3,50,6,3,70,4,"Metro_label"
"155",13,11,5.5665,4,"Monitor",15,30,7,1,70,4,1,60,3,"Bus_label"
"156",13,12,8.7336,4,"Monitor",15,30,9,3,70,5,3,70,5,"Metro_label"
"157",14,1,5.1956,3,"Monitor",25,40,9,1,50,4,1,60,5,"Metro_label"
"158",14,2,3.6833,3,"Monitor",20,30,8,1,70,6,1,80,5,"Metro_label"
"159",14,3,4.7747,3,"Monitor",15,30,8,3,50,4,3,80,5,"Metro_label"
"160",14,4,3.1664,3,"Monitor",15,30,8,1,60,5,1,70,4,"Metro_label"
"161",14,5,2.2983,3,"Monitor",25,20,7,3,50,5,3,60,5,"Metro_label"
"162",14,6,3.933,3,"Monitor",15,20,7,2,60,5,2,70,3,"Metro_label"
"163",14,7,2.5165,3,"Monitor",20,30,7,3,60,4,3,80,4,"Metro_label"
"164",14,8,3.6114,3,"Monitor",20,40,9,2,60,4,2,80,3,"Metro_label"
"165",14,9,5.4826,3,"Monitor",15,40,9,2,70,6,2,60,4,"Bus_label"
"166",14,10,3.0525,3,"Monitor",25,40,9,3,70,5,3,70,3,"Metro_label"
"167",14,11,2.9488,3,"Monitor",25,20,8,2,50,6,2,70,5,"Metro_label"
"168",14,12,2.9328,3,"Monitor",20,30,7,1,70,6,1,70,3,"Metro_label"
"169",15,1,6.3578,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
"170",15,2,4.9115,4,"Monitor",20,40,8,2,70,4,2,70,5,"Metro_label"
"171",15,3,8.4946,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label"
"172",15,4,4.4352,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label"
"173",15,5,5.1835,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"174",15,6,6.8488,4,"Monitor",25,20,9,3,50,4,3,80,3,"Metro_label"
"175",15,7,7.4,4,"Monitor",15,20,9,2,50,6,2,80,4,"Metro_label"
"176",15,8,5.315,4,"Monitor",20,20,8,1,50,5,1,70,4,"Metro_label"
"177",15,9,4.4681,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label"
"178",15,10,6.9163,4,"Monitor",20,30,9,3,50,6,3,70,4,"Metro_label"
"179",15,11,5.1637,4,"Monitor",15,30,7,1,70,4,1,60,3,"Metro_label"
"180",15,12,10.5845,4,"Monitor",15,30,9,3,70,5,3,70,5,"RH_label"
"181",16,1,6.2244,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
"182",16,2,6.7163,4,"Monitor",20,40,8,2,70,4,2,70,5,"Metro_label"
"183",16,3,7.2686,4,"Monitor",20,30,8,2,60,5,2,60,5,"RH_label"
"184",16,4,3.3998,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label"
"185",16,5,9.7844,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"186",16,6,6.3662,4,"Monitor",25,20,9,3,50,4,3,80,3,"RH_label"
"187",16,7,6.3528,4,"Monitor",15,20,9,2,50,6,2,80,4,"Metro_label"
"188",16,8,3.4127,4,"Monitor",20,20,8,1,50,5,1,70,4,"Metro_label"
"189",16,9,4.1139,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label"
"190",16,10,7.8196,4,"Monitor",20,30,9,3,50,6,3,70,4,"Metro_label"
"191",16,11,5.6527,4,"Monitor",15,30,7,1,70,4,1,60,3,"Bus_label"
"192",16,12,8.9659,4,"Monitor",15,30,9,3,70,5,3,70,5,"RH_label"
"193",17,1,4.3348,2,"Monitor",15,20,8,3,70,4,3,60,4,"Bus_label"
"194",17,2,2.4514,2,"Monitor",20,20,7,3,70,6,3,60,3,"Bus_label"
"195",17,3,3.6639,2,"Monitor",15,40,9,1,60,4,1,70,5,"Bus_label"
"196",17,4,4.2165,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label"
"197",17,5,2.6858,2,"Monitor",25,20,9,2,60,4,2,70,4,"Metro_label"
"198",17,6,2.7113,2,"Monitor",20,30,9,2,50,5,2,60,3,"Metro_label"
"199",17,7,2.5696,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label"
"200",17,8,3.1693,2,"Monitor",15,30,7,3,60,4,3,80,5,"Metro_label"
"201",17,9,2.6517,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label"
"202",17,10,2.3997,2,"Monitor",15,40,7,1,50,6,1,70,5,"Metro_label"
"203",17,11,2.0492,2,"Monitor",25,20,7,2,70,5,2,80,5,"Metro_label"
"204",17,12,2.1664,2,"Monitor",25,30,9,1,70,6,1,60,4,"Metro_label"
"205",18,1,4.0131,2,"Monitor",15,20,8,3,70,4,3,60,4,"Bus_label"
"206",18,2,6.3163,2,"Monitor",20,20,7,3,70,6,3,60,3,"Bus_label"
"207",18,3,3.1997,2,"Monitor",15,40,9,1,60,4,1,70,5,"Metro_label"
"208",18,4,3.9462,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label"
"209",18,5,5.5345,2,"Monitor",25,20,9,2,60,4,2,70,4,"Metro_label"
"210",18,6,4.2967,2,"Monitor",20,30,9,2,50,5,2,60,3,"Metro_label"
